"Estacion","Muestra","Epoca","Fecha","Latitud","Longitud","Altitud","Temperatura","OxDisuelto","pH","Area","Profundidad","Velocidad","Conductividad","Turbidez","Familia","Individuos"
"Fri4",1,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12,"Aeshnidae",1
"Fri4",1,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12,"Chironomidae",13
"Fri4",1,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12,"Glossiphoniidae",12
"Fri4",1,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12,"Hyalellidae",130
"Fri4",1,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,86.4,62.4,0.68,71.7,17.12,"Physidae",8
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Aeshnidae",2
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Coenagrionidae",1
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Corixidae",17
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Gerridae",2
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Hyalellidae",1
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Naididae",1
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Notonectidae",6
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Physidae",57
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Planariidae",4
"Fri4",2,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,14.9,5.3,7.2,86.4,62.4,0.68,92,14,"Sphaeriidae",3
"Fri4",3,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1,"Aeshnidae",2
"Fri4",3,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1,"Corixidae",4
"Fri4",3,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1,"Gerridae",11
"Fri4",3,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1,"Notonectidae",1
"Fri4",3,"Lluvia",NA,4.89305555555556,-74.0493611111111,2563,16.5,6.65,6.2,86.4,62.4,0.68,81.85,10.1,"Physidae",10
"Fri4",4,"Seca",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,28.3,48.1,0.12,71.1,17.2,"Aeshnidae",5
"Fri4",4,"Seca",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,28.3,48.1,0.12,71.1,17.2,"Chironomidae",1
"Fri4",4,"Seca",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,28.3,48.1,0.12,71.1,17.2,"Coenagrionidae",1
"Fri4",4,"Seca",NA,4.89305555555556,-74.0493611111111,2563,14.1,3.76,6.66,28.3,48.1,0.12,71.1,17.2,"Corixidae",3
